date,TSLA,earnings flag
2017-02-16,-2.161998748779297,0
2017-02-17,0.6559982299804688,1
2017-02-21,1.0320014953613281,1
2017-02-22,-0.7760009765625,0
2017-02-23,-3.503997802734375,0
2017-02-24,0.20199966430664062,1
2017-02-27,-2.154003143310547,0
2017-02-28,0.7520027160644531,1
2017-03-01,0.006000518798828125,1
2017-03-02,0.09199905395507812,1
2017-03-03,0.21799850463867188,1
2017-03-06,-0.07199859619140625,0
2017-03-07,-0.5240020751953125,0
2017-03-08,-0.3439979553222656,0
2017-03-09,-0.3940010070800781,0
2017-03-10,-0.24200057983398438,0
2017-03-13,0.496002197265625,1
2017-03-14,2.365997314453125,1
2017-03-15,-0.4539985656738281,0
2017-03-16,1.2639999389648438,1
2017-03-17,-0.1100006103515625,0
2017-03-20,0.0839996337890625,1
2017-03-21,-2.247997283935547,0
2017-03-22,0.865997314453125,1
2017-03-23,-0.04599761962890625,0
2017-03-24,1.6759986877441406,1
2017-03-27,1.4119987487792969,1
2017-03-28,1.4460029602050781,1
2017-03-29,-0.01399993896484375,0
2017-03-30,0.10799789428710938,1
2017-03-31,0.07600021362304688,1
2017-04-03,4.043998718261719,1
2017-04-04,1.0360031127929688,1
2017-04-05,-1.7400016784667969,0
2017-04-06,0.7400016784667969,1
2017-04-07,0.7679977416992188,1
2017-04-10,1.970001220703125,1
2017-04-11,-0.7360000610351562,0
2017-04-12,-2.3740005493164062,0
2017-04-13,1.4319992065429688,1
2017-04-17,-0.5120010375976562,0
2017-04-18,-0.23799896240234375,0
2017-04-19,1.0540008544921875,1
2017-04-20,-0.6020011901855469,0
2017-04-21,0.6180000305175781,1
2017-04-24,0.48600006103515625,1
2017-04-25,1.1520004272460938,1
2017-04-26,-0.7239990234375,0
2017-04-27,-0.3079986572265625,0
2017-04-28,1.0879974365234375,1
2017-05-01,1.7520027160644531,1
2017-05-02,-0.7880020141601562,0
2017-05-03,-1.5740013122558594,0
2017-05-04,-3.11199951171875,0
2017-05-05,2.5779991149902344,1
2017-05-08,-0.23199844360351562,0
2017-05-09,2.8139991760253906,1
2017-05-10,0.7919998168945312,1
2017-05-11,-0.4239959716796875,0
2017-05-12,0.3419952392578125,1
2017-05-15,-1.7859992980957031,0
2017-05-16,0.22600173950195312,1
2017-05-17,-2.1800003051757812,0
2017-05-18,1.3899993896484375,1
2017-05-19,-0.4459991455078125,0
2017-05-22,-0.09600067138671875,0
2017-05-23,-1.2980003356933594,0
2017-05-24,1.2719993591308594,1
2017-05-25,1.3220024108886719,1
2017-05-26,1.6619987487792969,1
2017-05-30,1.9919967651367188,1
2017-05-31,1.1820068359375,1
2017-06-01,-0.1280059814453125,0
2017-06-02,-0.10399627685546875,0
2017-06-05,1.4939956665039062,1
2017-06-06,1.1060028076171875,1
2017-06-07,1.3600006103515625,1
2017-06-08,2.0699996948242188,1
2017-06-09,-2.5360031127929688,0
2017-06-12,0.33800506591796875,1
2017-06-13,3.38800048828125,1
2017-06-14,0.9420013427734375,1
2017-06-15,-1.0640029907226562,0
2017-06-16,-0.7880020141601562,0
2017-06-19,-0.31999969482421875,0
2017-06-20,0.48799896240234375,1
2017-06-21,0.832000732421875,1
2017-06-22,1.24200439453125,1
2017-06-23,0.167999267578125,1
2017-06-26,-1.1920013427734375,0
2017-06-27,-3.0240020751953125,0
2017-06-28,1.7740020751953125,1
2017-06-29,-2.0979995727539062,0
2017-06-30,0.1719970703125,1
2017-07-03,-1.7979965209960938,0
2017-07-05,-5.1060028076171875,0
2017-07-06,-3.6520004272460938,0
2017-07-07,0.8780021667480469,1
2017-07-10,0.5659980773925781,1
2017-07-11,2.2340011596679688,1
2017-07-12,0.45999908447265625,1
2017-07-13,-1.2220001220703125,0
2017-07-14,0.8740005493164062,1
2017-07-17,-1.641998291015625,0
2017-07-18,1.7340011596679688,1
2017-07-19,-0.5960006713867188,0
2017-07-20,0.9319992065429688,1
2017-07-21,-0.3040008544921875,0
2017-07-24,2.8239974975585938,1
2017-07-25,-0.5839996337890625,0
2017-07-26,0.8499984741210938,1
2017-07-27,-1.8779983520507812,0
2017-07-28,0.12200164794921875,1
2017-07-31,-2.3199996948242188,0
2017-08-01,-0.779998779296875,0
2017-08-02,1.2639999389648438,1
2017-08-03,4.239997863769531,1
2017-08-04,1.9640045166015625,1
2017-08-07,-0.3480072021484375,0
2017-08-08,2.0100021362304688,1
2017-08-09,-0.3379974365234375,0
2017-08-10,-1.6259994506835938,0
2017-08-11,0.49399566650390625,1
2017-08-14,1.186004638671875,1
2017-08-15,-0.29399871826171875,0
2017-08-16,0.115997314453125,1
2017-08-17,-2.197998046875,0
2017-08-18,-0.8920059204101562,0
2017-08-21,-1.9199981689453125,0
2017-08-22,0.697998046875,1
2017-08-23,2.2840042114257812,1
2017-08-24,0.0319976806640625,1
2017-08-25,-0.9759979248046875,0
2017-08-28,-0.477996826171875,0
2017-08-29,0.339996337890625,1
2017-08-30,1.16400146484375,1
2017-08-31,0.5439987182617188,1
2017-09-01,-0.09999847412109375,0
2017-09-05,-1.1620025634765625,0
2017-09-06,-1.0120010375976562,0
2017-09-07,1.21600341796875,1
2017-09-08,-1.4420013427734375,0
2017-09-11,4.0579986572265625,1
2017-09-12,-0.18799591064453125,0
2017-09-13,0.6959991455078125,1
2017-09-14,2.2819976806640625,1
2017-09-15,0.43399810791015625,1
2017-09-18,1.0380020141601562,1
2017-09-19,-1.9800033569335938,0
2017-09-20,-0.23799896240234375,0
2017-09-21,-1.4860000610351562,0
2017-09-22,-3.0779953002929688,0
2017-09-25,-1.220001220703125,0
2017-09-26,0.052001953125,1
2017-09-27,-0.8560028076171875,0
2017-09-28,-0.2740020751953125,0
2017-09-29,0.3000030517578125,1
2017-10-02,0.08599853515625,1
2017-10-03,1.3219985961914062,1
2017-10-04,1.3740005493164062,1
2017-10-05,0.06400299072265625,1
2017-10-06,0.30999755859375,1
2017-10-09,-2.7880020141601562,0
2017-10-10,2.529998779296875,1
2017-10-11,-0.197998046875,0
2017-10-12,0.21600341796875,1
2017-10-13,-0.022003173828125,0
2017-10-16,-0.9939956665039062,0
2017-10-17,1.029998779296875,1
2017-10-18,0.779998779296875,1
2017-10-19,-1.5680007934570312,0
2017-10-20,-1.3420028686523438,0
2017-10-23,-1.615997314453125,0
2017-10-24,0.06400299072265625,1
2017-10-25,-2.3000030517578125,0
2017-10-26,0.06600189208984375,1
2017-10-27,-1.05999755859375,0
2017-10-30,-0.1580047607421875,0
2017-10-31,2.2900009155273438,1
2017-11-01,-2.089996337890625,0
2017-11-02,-4.364002227783203,0
2017-11-03,1.365997314453125,1
2017-11-06,-0.6619987487792969,0
2017-11-07,0.6539993286132812,1
2017-11-08,-0.332000732421875,0
2017-11-09,-0.279998779296875,0
2017-11-10,0.0,0
2017-11-13,2.4820022583007812,1
2017-11-14,-1.3400001525878906,0
2017-11-15,0.5199966430664062,1
2017-11-16,0.24000167846679688,1
2017-11-17,0.5099983215332031,1
2017-11-20,-1.2619972229003906,0
2017-11-21,1.8139991760253906,1
2017-11-22,-1.0419998168945312,0
2017-11-24,0.5900001525878906,1
2017-11-27,0.2519989013671875,1
2017-11-28,0.14799880981445312,1
2017-11-29,-2.0019989013671875,0
2017-11-30,0.26200103759765625,1
2017-12-01,-0.4640007019042969,0
2017-12-04,-0.26599884033203125,0
2017-12-05,-0.2999992370605469,0
2017-12-06,1.9119987487792969,1
2017-12-07,-0.40399932861328125,0
2017-12-08,0.7779998779296875,1
2017-12-11,2.7559967041015625,1
2017-12-12,2.4240036010742188,1
2017-12-13,-0.40000152587890625,0
2017-12-14,-0.227996826171875,0
2017-12-15,1.11199951171875,1
2017-12-18,-0.9160003662109375,0
2017-12-19,-1.5540008544921875,0
2017-12-20,-0.42400360107421875,0
2017-12-21,0.5360031127929688,1
